customer_id,full_name,date_of_birth,city,state,kyc_status,created_date
100001,Rohan Sharma,2016-09-29,Hyderabad,GJ,VERIFIED,2018-06-10
100002,Amit Mehta,1988-09-29,Bengaluru,DL,PENDING,2021-06-24
100003,Suresh Gupta,1983-11-30,Bengaluru,MH,VERIFIED,2018-11-11
100004,Rohan Malhotra,2016-04-30,Pune,TS,VERIFIED,2023-09-07
100005,Aditya Chopra,2002-05-17,Ahmedabad,MH,VERIFIED,2022-11-29
100006,Kavya Sharma,1967-09-20,Indore,TS,VERIFIED,2019-06-19
100007,Aarav Verma,2009-09-06,Mumbai,TS,VERIFIED,2023-04-02
100008,Rahul Mehta,2013-12-12,Pune,TS,PENDING,2016-07-19
100009,Priya Chopra,1990-12-27,Mumbai,TN,VERIFIED,2024-08-03
100010,Aarav Malhotra,1992-02-08,Ahmedabad,KA,VERIFIED,2024-09-08
100011,Rahul Malhotra,2008-04-30,Bengaluru,RJ,VERIFIED,2022-05-24
100012,Kavya Mehta,1986-12-21,Chennai,TN,PENDING,2016-05-02
100013,Riya Chopra,2001-06-07,Kolkata,MH,VERIFIED,2023-05-22
100014,Amit Sharma,1991-09-08,Jaipur,MP,VERIFIED,2017-07-30
100015,Karan Reddy,2005-09-09,Jaipur,WB,VERIFIED,2020-01-04
100016,Neha Patel,1971-07-20,Ahmedabad,MH,VERIFIED,2023-10-13
100017,Arjun Mehta,1970-05-18,Kolkata,KA,VERIFIED,2022-11-04
100018,Neha Verma,1979-03-08,Ahmedabad,MH,VERIFIED,2025-08-24
100019,Aditya Reddy,2004-06-09,Kolkata,GJ,VERIFIED,2016-10-24
100020,Rohan Iyer,2002-04-16,Ahmedabad,TS,VERIFIED,2016-02-15
100021,Ananya Chopra,2008-06-11,Ahmedabad,TS,VERIFIED,2017-05-28
100022,Amit Sharma,2006-09-01,Bengaluru,WB,VERIFIED,2020-09-13
100023,Riya Malhotra,1983-04-22,Delhi,WB,VERIFIED,2019-06-29
100024,Rohan Reddy,1995-07-10,Indore,WB,VERIFIED,2023-10-25
100025,Aditya Malhotra,2019-06-06,Mumbai,MH,VERIFIED,2018-10-18
100026,Vikram Chopra,1977-11-21,Chennai,MP,VERIFIED,2023-12-25
100027,Ananya Chopra,1993-01-16,Hyderabad,MP,VERIFIED,2021-03-05
100028,Rahul Verma,1993-08-25,Mumbai,TN,VERIFIED,2021-11-20
100029,Vihaan Mehta,1995-12-27,Hyderabad,MH,VERIFIED,2022-10-26
100030,Vikram Verma,2000-10-09,Chennai,TN,VERIFIED,2022-09-04
100031,Suresh Verma,1976-09-24,Jaipur,RJ,VERIFIED,2022-12-05
100032,Pooja Patel,1998-03-30,Hyderabad,GJ,VERIFIED,2015-08-02
100033,Riya Iyer,2011-03-15,Bengaluru,MH,VERIFIED,2016-10-20
100034,Karan Iyer,2015-05-23,Ahmedabad,RJ,PENDING,2019-05-13
100035,Ananya Mehta,1974-07-12,Indore,TS,PENDING,2025-10-25
100036,Amit Verma,1993-08-18,Ahmedabad,KA,VERIFIED,2022-02-17
100037,Isha Gupta,1986-09-09,Jaipur,RJ,VERIFIED,2015-01-22
100038,Nisha Mehta,2006-11-07,Jaipur,KA,VERIFIED,2024-01-08
100039,Karan Khan,1975-12-29,Delhi,TS,VERIFIED,2016-01-09
100040,Pooja Patel,1988-12-30,Indore,DL,VERIFIED,2024-03-26
100041,Nisha Mehta,2005-05-03,Delhi,GJ,VERIFIED,2016-08-18
100042,Neha Sharma,1987-03-30,Hyderabad,KA,VERIFIED,2020-04-15
